Sun Nov 15 11:39:17 CET 2020
Opening instancias/MANN_a9.clq.txt (45 nodes, 918 edges)

LibGA Version 1.00
(c) Copyright Arthur L. Corcoran, 1992, 1993.  All rights reserved.

GA Configuration Information:
-----------------------------
Basic Info
   Random Seed       : 400
   Data Type         : Bit
   Init Pool Entered : Randomly
   Chromosome Length : 45
   Pool Size         : 200
   Number of Trials  : 10000 iterations, or until convergence
   Minimize          : No
   Elitism           : Yes
   Scale Factor      : 0

Functions
   GA          : generational (Gap = 0)
   Selection   : roulette
   Crossover   : simple (Rate = 0.01)
   Mutation    : simple_invert (Rate = 0.5)
   Replacement : append

Reports
   Type     : Short
   Interval : 100
-----------------------------

Gener    Min      Max      Ave    Variance  Std Dev  Tot Fit    Best
-----  -------  -------  -------  --------  -------  -------  -------
    0  0.445833  0.478571    0.463  2.75E-05  0.00524  92.6662  0.478571
    1  0.45098  0.478571    0.466  2.44E-05  0.00494  93.2355  0.478571
  100  0.491667  0.666667    0.652   0.00215   0.0464  130.336  0.666667
  200  0.491667  0.666667    0.651   0.00232   0.0481  130.174  0.666667
  300  0.492647  0.677778    0.665   0.00202   0.0449  132.974  0.677778
  400  0.492647  0.677778    0.661   0.00257   0.0507  132.176  0.677778
  500  0.492647  0.677778    0.667   0.00175   0.0418  133.362  0.677778
  600  0.492647  0.677778    0.661   0.00258   0.0508  132.137  0.677778
  700  0.492647  0.677778    0.662   0.00243   0.0493  132.326  0.677778
  800  0.488971  0.677778     0.66    0.0029   0.0538  131.923  0.677778
  900  0.492647  0.677778    0.666   0.00189   0.0434  133.125  0.677778
 1000  0.492647  0.677778    0.661   0.00258   0.0508  132.125  0.677778
 1100  0.492647  0.677778    0.661   0.00261   0.0511  132.275  0.677778
 1200  0.492647  0.677778    0.659   0.00285   0.0534  131.723  0.677778
 1300  0.492647  0.677778    0.661   0.00244   0.0494   132.17  0.677778
 1400  0.492647  0.677778    0.666   0.00188   0.0434  133.152  0.677778
 1500  0.488971  0.677778    0.663   0.00232   0.0482  132.541  0.677778
 1600  0.492647  0.677778    0.664   0.00216   0.0465   132.77  0.677778
 1700  0.488304  0.677778    0.666   0.00176   0.0419   133.23  0.677778
 1800  0.492647  0.677778    0.665   0.00189   0.0434  133.037  0.677778
 1900  0.488971  0.677778    0.666   0.00175   0.0418  133.222  0.677778
 2000  0.488971  0.677778    0.667   0.00177   0.0421  133.334  0.677778
 2100  0.492647  0.677778    0.666   0.00175   0.0418  133.293  0.677778
 2200  0.491667  0.677778    0.663   0.00232   0.0481  132.531  0.677778
 2300  0.491667  0.677778    0.657   0.00327   0.0571  131.306  0.677778
 2400  0.492647  0.677778    0.666   0.00174   0.0417  133.252  0.677778
 2500  0.492647  0.677778     0.67   0.00113   0.0336  134.045  0.677778
 2600  0.492647  0.677778     0.67   0.00112   0.0335  134.003  0.677778
 2700  0.492647  0.677778    0.667   0.00172   0.0415  133.307  0.677778
 2800  0.492647  0.677778    0.668   0.00159   0.0398  133.517  0.677778
 2900  0.492647  0.677778    0.659   0.00288   0.0536  131.874  0.677778
 3000  0.492647  0.677778    0.667   0.00175   0.0418  133.304  0.677778
 3100  0.488971  0.677778    0.663   0.00234   0.0483    132.6  0.677778
 3200  0.492647  0.677778    0.667   0.00144   0.0379  133.497  0.677778
 3300  0.488971  0.677778    0.667   0.00158   0.0398  133.418  0.677778
 3400  0.492647  0.677778    0.667   0.00175   0.0418  133.371  0.677778
 3500  0.490196  0.677778    0.664    0.0022   0.0469  132.839  0.677778
 3600  0.492647  0.677778    0.668   0.00147   0.0383  133.615  0.677778
 3700  0.492647  0.677778    0.668   0.00158   0.0398   133.53  0.677778
 3800  0.491667  0.677778    0.658     0.003   0.0548  131.614  0.677778
 3900  0.488971  0.677778    0.669   0.00131   0.0361  133.837  0.677778
 4000  0.492647  0.677778     0.66   0.00273   0.0523  132.004  0.677778
 4100  0.492647  0.677778    0.666   0.00173   0.0416  133.213  0.677778
 4200  0.491667  0.677778    0.662   0.00245   0.0495  132.362  0.677778
 4300  0.492647  0.677778    0.662   0.00245   0.0495  132.469  0.677778
 4400  0.488971  0.677778     0.66   0.00276   0.0526  131.998  0.677778
 4500  0.492647  0.677778    0.667   0.00158   0.0398  133.486  0.677778
 4600  0.492647  0.677778    0.667    0.0016     0.04  133.444  0.677778
 4700  0.488971  0.677778    0.667   0.00161   0.0401   133.47  0.677778
 4800  0.492647  0.677778    0.666   0.00174   0.0417  133.299  0.677778
 4900  0.492647  0.677778    0.666   0.00176   0.0419  133.212  0.677778
 5000  0.492647  0.677778    0.666   0.00173   0.0416  133.178  0.677778
 5100  0.491667  0.677778    0.665   0.00189   0.0435  133.066  0.677778
 5200  0.492647  0.677778    0.667   0.00159   0.0399  133.367  0.677778
 5300  0.492647  0.677778    0.667   0.00173   0.0416   133.36  0.677778
 5400  0.492647  0.677778    0.667    0.0016     0.04  133.444  0.677778
 5500  0.492647  0.677778    0.662   0.00246   0.0496  132.347  0.677778
 5600  0.492647  0.677778     0.66   0.00273   0.0522  131.974  0.677778
 5700  0.492647  0.677778    0.661   0.00261   0.0511  132.293  0.677778
 5800  0.492647  0.677778    0.666   0.00189   0.0435  133.133  0.677778
